Peak load,Operating reverse,Taipei,Taichung,Kaohsiung,day
31852,3379,31.4,30.5,30.9,4
30352,3907,29,28.1,30.5,5
30466,3620,31.2,29.1,30.9,6
31107,3412,30.8,30.2,31.1,7
36351,4013,30.8,30.7,30.3,1
36682,4646,30.7,30.3,29.9,2
36331,4029,29.4,28.7,29.8,3
35847,4458,27.8,27.4,30.2,4
35798,4131,30,27.6,30.8,5
31924,4287,31.2,28.9,30.8,6
31219,3475,31,29.9,30.9,7
35888,5016,31.2,29.5,30.6,1
36326,4610,31,30.2,30.3,2
37106,4315,31.4,30.3,30.9,3
36686,4367,31.5,30.2,31.3,4
36830,4379,32.2,29.8,31.5,5
32935,3671,31.4,30.2,31.5,6
32223,3518,32.5,30.3,31.7,7
37528,3974,32.7,31.2,31.7,1
37790,3924,32,30.9,30.7,2
36755,4210,31.6,29.7,28.2,3
35903,5085,31.4,28.6,30.1,4
36882,4256,31.9,29.3,30.8,5
33193,4321,31.9,30.8,31.2,6
31831,4128,30.8,30,31.2,7
37521,4268,29.6,28.9,30.1,1
36825,5133,30.2,29.2,30.6,2
37367,4266,31.2,30.2,31.1,3
38020,3848,30.5,30.1,30.7,4
37557,4129,32.4,30.5,31.1,5
32838,4697,30.2,30.4,31.3,6
30548,4718,28.4,29.5,30.6,7
36760,4565,28.5,28.9,30.2,1
36333,4530,29.7,28,28.4,2
36353,4845,31.2,28.4,29.1,3
35592,5460,30.7,29.2,30,4
36300,4138,32.1,31,29.6,5
32682,4121,32.3,28.9,30.7,6
30754,3810,30.8,29.1,29.1,7
33718,4898,26.6,25.8,27.1,1
34036,4353,28.1,27.4,26.4,2
35374,4387,29.6,29,30,3
36593,3853,31.4,30.3,30.1,4
36682,3860,31.4,29.9,30.2,5
32361,3871,30.9,29.9,30.5,6
31166,3187,30.6,29.5,30.6,7
36411,3726,30,28.4,30.1,1
35167,4384,28.3,26.9,29,2
36537,4270,29.6,27.2,30.9,3
36301,4651,29.9,28.6,29.3,4
35941,5022,29.7,28.8,28.4,5
31204,4941,29.7,26.5,28.1,6
29721,4622,30.2,27.8,28.8,7
35538,4585,30.9,28.7,29,1
36279,4236,30.9,28.1,29.6,2
36996,3869,31.6,28.9,30,3
36818,4384,31.6,28.9,30.3,4
36823,3862,31.1,29.6,29.3,5
30985,3398,28,28.1,28.1,6
30245,3297,29.8,28.3,28.8,7
36483,3695,31.8,29.5,28.9,1
37073,3812,32.9,30.2,28.7,2
35827,3796,31,27.9,25.6,3
35107,4545,27.7,27.3,27,4
35122,4272,29.2,27.5,29.1,5
31138,4174,29.4,28.7,29.5,6
30677,4086,30.9,29.3,29.7,7
35197,4719,29.1,28.6,28.4,1
35420,4478,29.6,28.8,29.5,2
36492,3868,31.7,29.9,30.2,3
35474,4811,28.8,27.7,29.6,4
35980,4870,29.3,28.7,29.7,5
30758,3922,28.9,28.6,29.8,6
27921,3873,28.1,27.6,29.8,7
33937,4362,28.8,28,28.7,1
35134,4155,29.5,29.1,29.8,2
35370,4176,29.4,28.9,30.2,3
35438,4255,28.2,28.5,30,4
35598,4084,29.7,28.5,29.7,5
31311,3383,28.8,28,29.6,6
30030,3024,27.7,27,30,7
35640,3718,29.5,28.6,30.2,1
36312,3725,30.2,28.9,30,2
36521,3733,30.5,29.5,30.3,3
36846,3724,31.3,29.5,30.9,4
36893,3729,30.6,30,30.6,5
32486,3317,30.4,29,29.6,6
29517,3885,27.2,29.1,29.3,7
34397,4562,27.4,28.9,29.8,1
34237,5125,27.3,28.1,29.9,2
34689,4772,27.7,28,30.1,3
33525,5434,25.1,27.6,29.7,4
32012,5274,24,26.7,28.8,5
31095,4547,23.9,27,29.3,6
26808,4489,21.6,25.6,29.3,7
31113,4555,22.5,25.2,29,1
31746,4259,24.5,27.1,28.9,2
30723,5285,21.6,25.7,29.1,3
26398,4645,25.1,27,29.2,4
27075,3460,26.9,27.6,28.8,5
27548,3418,28.6,28,28.8,6
28281,3591,29.3,28.5,29.2,7
32508,4539,24.2,27.4,29.6,1
31900,4239,24,26.1,29.3,2
31307,4100,24.3,25.3,28.1,3
30813,4718,24.2,26,27.9,4
27483,4310,23,25.8,28.4,5
27387,3295,24.2,26,28.3,6
27431,3088,25.5,26.7,28.8,7
33063,3361,26.1,28,29.2,1
33389,3465,24.5,27.8,29,2
32798,3992,25.1,27.8,28.8,3
32682,3926,25.4,27.4,28.8,4
32878,3801,25,27.3,28.3,5
28021,4087,23.5,25.9,27.7,6
26570,3946,22.7,25.4,27.3,7
31046,4505,22.8,25.5,27.7,1
31632,4244,23.9,26.1,27.7,2
32367,3309,25.3,26.3,27.5,3
31202,4341,22.5,24.1,26.9,4
29698,4003,20.6,20.9,23.8,5
26791,3892,22.5,23.7,25.8,6
26126,4025,24,25.3,26.7,7
31092,3503,25.6,25.8,27.2,1
31669,3402,25.5,26.5,27.7,2
31959,3470,25.7,26.4,27.7,3
31271,3707,24.2,25.6,28.1,4
30264,4215,23,24.6,27,5
26763,3719,23.3,23.7,26.2,6
